0,1,2,3,4,target
13478.0,12865.0,12577.0,12517.0,12670.0,13038.0
12865.0,12577.0,12517.0,12670.0,13038.0,13692.0
12577.0,12517.0,12670.0,13038.0,13692.0,14297.0
12517.0,12670.0,13038.0,13692.0,14297.0,14719.0
12670.0,13038.0,13692.0,14297.0,14719.0,14941.0
13038.0,13692.0,14297.0,14719.0,14941.0,15184.0
13692.0,14297.0,14719.0,14941.0,15184.0,15009.0
14297.0,14719.0,14941.0,15184.0,15009.0,14808.0
14719.0,14941.0,15184.0,15009.0,14808.0,14522.0
14941.0,15184.0,15009.0,14808.0,14522.0,14349.0
15184.0,15009.0,14808.0,14522.0,14349.0,14107.0
15009.0,14808.0,14522.0,14349.0,14107.0,14410.0
14808.0,14522.0,14349.0,14107.0,14410.0,15174.0
14522.0,14349.0,14107.0,14410.0,15174.0,15261.0
14349.0,14107.0,14410.0,15174.0,15261.0,14774.0
14107.0,14410.0,15174.0,15261.0,14774.0,14363.0
14410.0,15174.0,15261.0,14774.0,14363.0,14045.0
15174.0,15261.0,14774.0,14363.0,14045.0,13478.0
15261.0,14774.0,14363.0,14045.0,13478.0,12892.0
14774.0,14363.0,14045.0,13478.0,12892.0,14097.0
14363.0,14045.0,13478.0,12892.0,14097.0,13667.0
14045.0,13478.0,12892.0,14097.0,13667.0,13451.0
13478.0,12892.0,14097.0,13667.0,13451.0,13379.0
12892.0,14097.0,13667.0,13451.0,13379.0,13506.0
14097.0,13667.0,13451.0,13379.0,13506.0,14121.0
13667.0,13451.0,13379.0,13506.0,14121.0,15066.0
13451.0,13379.0,13506.0,14121.0,15066.0,15771.0
13379.0,13506.0,14121.0,15066.0,15771.0,16047.0
13506.0,14121.0,15066.0,15771.0,16047.0,16245.0
14121.0,15066.0,15771.0,16047.0,16245.0,16377.0
15066.0,15771.0,16047.0,16245.0,16377.0,16138.0
15771.0,16047.0,16245.0,16377.0,16138.0,15886.0
16047.0,16245.0,16377.0,16138.0,15886.0,15503.0
16245.0,16377.0,16138.0,15886.0,15503.0,15206.0
16377.0,16138.0,15886.0,15503.0,15206.0,15049.0
16138.0,15886.0,15503.0,15206.0,15049.0,15161.0
15886.0,15503.0,15206.0,15049.0,15161.0,16085.0
15503.0,15206.0,15049.0,15161.0,16085.0,16508.0
15206.0,15049.0,15161.0,16085.0,16508.0,16306.0
15049.0,15161.0,16085.0,16508.0,16306.0,16223.0
15161.0,16085.0,16508.0,16306.0,16223.0,15931.0
16085.0,16508.0,16306.0,16223.0,15931.0,15207.0
16508.0,16306.0,16223.0,15931.0,15207.0,14316.0
16306.0,16223.0,15931.0,15207.0,14316.0,15223.0
16223.0,15931.0,15207.0,14316.0,15223.0,14731.0
15931.0,15207.0,14316.0,15223.0,14731.0,14503.0
15207.0,14316.0,15223.0,14731.0,14503.0,14432.0
14316.0,15223.0,14731.0,14503.0,14432.0,14531.0
15223.0,14731.0,14503.0,14432.0,14531.0,15087.0
14731.0,14503.0,14432.0,14531.0,15087.0,16018.0
14503.0,14432.0,14531.0,15087.0,16018.0,16968.0
14432.0,14531.0,15087.0,16018.0,16968.0,17149.0
14531.0,15087.0,16018.0,16968.0,17149.0,17261.0
15087.0,16018.0,16968.0,17149.0,17261.0,17194.0
16018.0,16968.0,17149.0,17261.0,17194.0,17011.0
16968.0,17149.0,17261.0,17194.0,17011.0,16749.0
17149.0,17261.0,17194.0,17011.0,16749.0,16546.0
17261.0,17194.0,17011.0,16749.0,16546.0,16403.0
